Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
16922,-8.602505,-1.20124,4.70685,5.88,4.34,4.48,72.844246,-129.774231,65.245087,93,1.86,-0.1411820000000005,0.0813589999999999,-0.0646089999999999,-8.531914,-1.2419194999999996,4.7391545
16942,-8.746079,-1.150989,4.742744,5.39,5.25,3.99,73.391121,-127.456184,67.334564,94,1.88,-0.1435739999999992,0.050251,0.0358939999999998,-8.674292000000001,-1.1761144999999995,4.724797000000001
16962,-8.968619,-1.213204,4.807353,5.95,4.06,3.57,73.031883,-125.77433,69.737892,95,1.9,-0.2225400000000004,-0.0622149999999999,0.0646089999999999,-8.857349,-1.1820964999999997,4.7750485000000005
16982,-8.968619,-1.356779,4.929391,-1.26,-10.78,-1.61,73.947411,-125.136154,69.704704,96,1.92,0.0,-0.143575,0.1220379999999998,-8.968619,-1.2849914999999994,4.868372
17002,-8.485252,-1.313707,5.025107,-4.48,-3.57,3.92,73.869415,-127.792847,68.112801,97,1.94,0.4833670000000012,0.043072,0.0957160000000003,-8.7269355,-1.3352429999999995,4.9772490000000005
17022,-8.645576,-1.378315,5.104073,10.22,-1.96,8.75,73.233139,-126.09053,68.418823,98,1.96,-0.160324000000001,-0.064608,0.0789659999999994,-8.565414,-1.3460109999999994,5.06459
17042,-9.45438,-2.079437,5.580262,8.89,-0.63,10.01,74.194016,-127.042725,68.944519,99,1.98,-0.8088040000000003,-0.701122,0.4761890000000006,-9.049978,-1.7288759999999996,5.3421675
17062,-9.995177,-2.452731,5.774087,-5.39,-14.0,6.09,74.032646,-124.357643,69.561768,100,2.0,-0.5407969999999995,-0.373294,0.1938249999999994,-9.7247785,-2.266084,5.6771745
17082,-9.99757,-2.938491,5.501296,-10.5,-28.77,-2.59,72.609238,-125.985527,68.30143,101,2.02,-0.0023929999999996,-0.4857599999999999,-0.2727909999999998,-9.9963735,-2.6956109999999995,5.6376915
17102,-10.95234,-3.460145,5.501296,-22.469999,-34.650002,-3.43,76.594971,-128.243225,69.276375,102,2.04,-0.95477,-0.5216539999999998,0.0,-10.474955,-3.1993179999999994,5.501296
17122,-10.923625,-3.149067,5.183039,-25.34,-28.98,-13.3,77.780228,-129.78653,68.013557,103,2.06,0.028715,0.3110779999999997,-0.318257,-10.9379825,-3.304606,5.3421675
17142,-9.389771,-2.988742,5.716658,-16.66,-3.29,-16.24,75.816833,-131.851318,66.819572,104,2.08,1.5338539999999998,0.1603250000000002,0.5336189999999998,-10.156698,-3.0689044999999995,5.4498485
17162,-12.323477,-4.118195,6.523067,-7.77,-15.05,-2.17,77.340385,-132.921402,65.638382,105,2.1,-2.933706000000001,-1.1294530000000005,0.8064090000000004,-10.856624,-3.5534685,6.1198625
17182,-11.586461,-2.974385,6.326849,-34.720001,-20.719999,-22.049999,79.498123,-133.53476,67.197426,106,2.12,0.7370160000000006,1.1438100000000002,-0.196218,-11.954969,-3.546289999999999,6.424958
